Tên sản phẩm,Giá,Link,Thời gian quét
Bàn Phím Có Dây - Machenike K500-B61 - 1 mode : dây - Màu trắng - Ngoại hình 97% - Body,300.000₫,https://2handland.com/san-pham/ban-phim-co-day-machenike-k500-b61-1-mode-day-mau-trang-ngoai-hinh-97-body,2026-01-11 22:04:22
Máy vặn vít dùng pin 3.6V Bosch Go Gen 3 - Màu xanh đen - Ngoại hình 97% - Kèm hộp đựng + Đầu nối dài + Đầu vít,800.000₫,https://2handland.com/san-pham/may-van-vit-dung-pin-3-6v-bosch-go-gen-3-mau-xanh-den-ngoai-hinh-97-kem-hop-dung-dau-noi-dai-dau-vit,2026-01-11 22:04:23
Máy Bơm Lốp Không Dây Baseus SuperMini Pro Series Wireless Car Inflator 50W 4000mAh - Màu đen - Ngoại hình 97% - Body,450.000₫,https://2handland.com/san-pham/may-bom-lop-khong-day-baseus-supermini-pro-series-wireless-car-inflator-50w-4000mah-mau-den-ngoai-hinh-97-body,2026-01-11 22:04:24
Máy đo khoảng cách 40m Bosch GLM 40-12 - Màu xanh đen - Ngoại hình 97% - Body,1.000.000₫,https://2handland.com/san-pham/may-do-khoang-cach-40m-bosch-glm-40-12-mau-xanh-den-ngoai-hinh-97-body,2026-01-11 22:04:25
Chuột không dây Logitech MX Master 3S - 1 mode : Bluetooth - Màu trắng - Ngoại hình 97% - Body,800.000₫,https://2handland.com/san-pham/chuot-khong-day-logitech-mx-master-3s-1-mode-bluetooth-mau-trang-ngoai-hinh-97-body,2026-01-11 22:04:26
Đồng hồ Apple Watch Series 7/45mm - VN/A - Bản GPS - Pin 100% - Viền nhôm - Màu xanh - Ngoại hình 98% - Kèm box,3.900.000₫,https://2handland.com/san-pham/dong-ho-apple-watch-series-7-45mm-vn-a-ban-gps-pin-100-vien-nhom-mau-xanh-ngoai-hinh-98-kem-box,2026-01-11 22:04:27
Đồng hồ Apple Watch Series 4/40mm - LL/A - Bản GPS - Pin 100% thay new - Viền nhôm - Màu hồng - Ngoại hình 98% - Kèm sạc,2.100.000₫,https://2handland.com/san-pham/dong-ho-apple-watch-series-4-40mm-ll-a-ban-gps-pin-100-thay-new-vien-nhom-mau-hong-ngoai-hinh-98-kem-sac,2026-01-11 22:04:28
"Màn hình di động ARZOPA Z1RC 16"" 60Hz 2.5K IPS HDR - Màu đen - Ngoại hình 97% - Kèm dây c-c",2.000.000₫,https://2handland.com/san-pham/man-hinh-di-dong-arzopa-z1rc-16-60hz-2-5k-ips-hdr-mau-den-ngoai-hinh-97-kem-day-c-c,2026-01-11 22:04:29
Bảng Vẽ Điện Tử One by Wacom Small CTL472 - Màu đen - Ngoại hình 97% - Fullbox,600.000₫,https://2handland.com/san-pham/bang-ve-dien-tu-one-by-wacom-small-ctl472-mau-den-ngoai-hinh-97-fullbox,2026-01-11 22:04:30
Bút Apple Pencil 2023 USB-C - Màu trắng - Ngoại hình 98% - Fullbox,1.400.000₫,https://2handland.com/san-pham/but-apple-pencil-2023-usb-c-mau-trang-ngoai-hinh-98-fullbox,2026-01-11 22:04:31
iPad Gen 10 10.9 inch 2022 Wifi - ZA/A - 64GB - IOS 18.2.1 - Pin 95% - Màu bạc - Ngoại hình 98% - Fullbox,6.700.000₫,https://2handland.com/san-pham/ipad-gen-10-10-9-inch-2022-wifi-za-a-64gb-ios-18-2-1-pin-95-mau-bac-ngoai-hinh-98-fullbox,2026-01-11 22:04:32
Điện thoại Samsung Galaxy S24 Ultra - Mã VN - 12/256GB - Màu titan - Ngoại hình 98% - Fullbox,17.500.000₫,https://2handland.com/san-pham/dien-thoai-samsung-galaxy-s24-ultra-ma-vn-12-256gb-mau-titan-ngoai-hinh-98-fullbox,2026-01-11 22:04:33
Đồng Hồ Nam SRWATCH Timepiece TE Watch SG1056 - 39mm - Màu vàng - Ngoại hình 97% - Body,700.000₫,https://2handland.com/san-pham/dong-ho-nam-srwatch-timepiece-te-watch-sg1056-39mm-mau-vang-ngoai-hinh-97-body,2026-01-11 22:04:34
"Chuột Logitech G Pro X Superlight 2 - 2 mode: dây , receiver - Màu trắng - Ngoại hình 97% - dán skin - Fullbox",2.200.000₫,https://2handland.com/san-pham/chuot-logitech-g-pro-x-superlight-2-2-mode-day-receiver-mau-trang-ngoai-hinh-97-dan-skin-fullbox,2026-01-11 22:04:35
"Laptop Acer Nitro 5 AN515-45 - Ryzen 7 5800H - Card RTX 3060 - Ram 16/1TB SSD (98%) , 512GB SSD (94%) - Pin 85% - Màu đen - Ngoại hình 97% - chuột phải hơi lờn ,màn ám viền - Kèm sạc",13.500.000₫,https://2handland.com/san-pham/laptop-acer-nitro-5-an515-45-ryzen-7-5800h-card-rtx-3060-ram-16-1tb-ssd-98-512gb-ssd-94-pin-85-mau-den-ngoai-hinh-97-chuot-phai-hoi-lon-man-am-vien-kem-sac,2026-01-11 22:04:36
Laptop HP Pavilion 14-DV2XXX - i5 1235U - Ram 8/ 256 GB SSD (100%) - Pin 85% - Màu bạc - Ngoại hình 98% - Màn ám rộp phím - Kèm sạc,8.000.000₫,https://2handland.com/san-pham/laptop-hp-pavilion-14-dv2xxx-i5-1235u-ram-8-256-gb-ssd-100-pin-85-mau-bac-ngoai-hinh-98-man-am-rop-phim-kem-sac,2026-01-11 22:04:37
iPad A16 (Gen 11) WiFi - ZA/A - 128GB - IOS 18.6.2 - Pin 100 ( chu kỳ sạc 37) - Màu bạc - Ngoại hình 98% - Kèm sạc,7.700.000₫,https://2handland.com/san-pham/ipad-a16-gen-11-wifi-za-a-128gb-ios-18-6-2-pin-100-chu-ky-sac-37-mau-bac-ngoai-hinh-98-kem-sac,2026-01-11 22:04:38
Đồng hồ Samsung Galaxy Watch 6 (RWNK) - 40mm - Model SM-R930 - Bản GPS - Màu bạc - Ngoại hình 98% - Kèm sạc,1.900.000₫,https://2handland.com/san-pham/dong-ho-samsung-galaxy-watch-6-rwnk-40mm-model-sm-r930-ban-gps-mau-bac-ngoai-hinh-98-kem-sac,2026-01-11 22:04:39
Điện thoại iPhone SE (2020) - Máy mã N - 2J/A - 256GB - IOS 18.7.1 - Pin 86% - Màu đen - Ngoại hình 97% - Kèm box,3.500.000₫,https://2handland.com/san-pham/dien-thoai-iphone-se-2020-may-ma-n-2j-a-256gb-ios-18-7-1-pin-86-mau-den-ngoai-hinh-97-kem-box,2026-01-11 22:04:40
Điện thoại iPhone 11 - LL/A - 64GB - IOS 17.3.1 - Pin 84% - Màu xanh - Ngoại hình 97% - màn ám phản quang - Body,4.300.000₫,https://2handland.com/san-pham/dien-thoai-iphone-11-ll-a-64gb-ios-17-3-1-pin-84-mau-xanh-ngoai-hinh-97-man-am-phan-quang-body,2026-01-11 22:04:41
Điện thoại iPhone 15 Promax - VN/A - 256GB - IOS 26.1 - Pin 84% - Màu xanh - Ngoại hình 97% - màn trầy - Body,20.500.000₫,https://2handland.com/san-pham/dien-thoai-iphone-15-promax-vn-a-256gb-ios-26-1-pin-84-mau-xanh-ngoai-hinh-97-man-tray-body,2026-01-11 22:04:42
Điện thoại iPhone 11 Promax - LL/A - 256GB - IOS 26.2 - Pin 100% thay new - Màu trắng - Ngoại hình 97% - Màn lưu ảnh nhẹ khó thấy - Body,7.500.000₫,https://2handland.com/san-pham/dien-thoai-iphone-11-promax-ll-a-256gb-ios-26-2-pin-100-thay-new-mau-trang-ngoai-hinh-97-man-luu-anh-nhe-kho-thay-body,2026-01-11 22:04:44
Tai nghe Airpods 2 - Mất tìm - Màu trắng - Ngoại hình 97.5% - Body,1.300.000₫,https://2handland.com/san-pham/tai-nghe-airpods-2-mat-tim-mau-trang-ngoai-hinh-97-5-body,2026-01-11 22:04:45
Tai nghe Airpods 4 - Bản ANC - Màu trắng - Newseal bảo hành bên minh tuấn mobile đến ngày 9/1/2027 còn hóa đơn,3.900.000₫,https://2handland.com/san-pham/tai-nghe-airpods-4-ban-anc-mau-trang-newseal-bao-hanh-ben-minh-tuan-mobile-den-ngay-9-1-2027-con-hoa-don,2026-01-11 22:04:46
Đồng hồ thông minh Black Shark GS3 - Màu xanh lá - Ngoại hình 97% - Kèm sạc,800.000₫,https://2handland.com/san-pham/dong-ho-thong-minh-black-shark-gs3-mau-xanh-la-ngoai-hinh-97-kem-sac,2026-01-11 22:04:48
Bàn phím dây Tiroshi Q82 V9 - Màu đen - Ngoại hình: 98% - Box,350.000₫,https://2handland.com/san-pham/ban-phim-day-tiroshi-q82-v9-mau-den-ngoai-hinh-98-box,2026-01-11 22:04:49
Bàn phím dây Edra EK-387 - Màu đen - Ngoại hình: 96% - Nhựa bị oxy hóa - Body,250.000₫,https://2handland.com/san-pham/ban-phim-day-edra-ek-387-mau-den-ngoai-hinh-96-nhua-bi-oxy-hoa-body,2026-01-11 22:04:50
"Điện thoại Samsung A50S - Màu đen - Exynos 9611 - Ram 4GB/64GB - Ngoại hình: 96% - Tróc sơn, lún âm lượng + nguồn, màn trầy + lưu ảnh - Body - SP KHÔNG BẢO HÀNH",600.000₫,https://2handland.com/san-pham/dien-thoai-samsung-a50s-mau-den-exynos-9611-ram-4gb-64gb-ngoai-hinh-96-troc-son-lun-am-luong-nguon-man-tray-luu-anh-body-sp-khong-bao-hanh,2026-01-11 22:04:51
"Đồng hồ Casio MTP V300 - Màu vàng - Ngoại hình: 97% - Box, kèm mắt nối",1.000.000₫,https://2handland.com/san-pham/dong-ho-casio-mtp-v300-mau-vang-ngoai-hinh-97-box-kem-mat-noi,2026-01-11 22:04:52
"Vòng đeo tay thông minh Huawei Band 8 - Màu đen - Ngoại hình: 97% - Cấn nút sườn, màn trầy - Body, kèm sạc",120.000₫,https://2handland.com/san-pham/vong-deo-tay-thong-minh-huawei-band-8-mau-den-ngoai-hinh-97-can-nut-suon-man-tray-body-kem-sac,2026-01-11 22:04:53
Đĩa game PS4 - Hello Neighbor - Kèm box,150.000₫,https://2handland.com/san-pham/dia-game-ps4-hello-neighbor-kem-box,2026-01-11 22:04:54
Đĩa game PS4 - Minecraft Playstation 4 Edition - Kèm box,250.000₫,https://2handland.com/san-pham/dia-game-ps4-minecraft-playstation-4-edition-kem-box,2026-01-11 22:04:55
Đồng hồ Tissot Lovely Square - Màu bạc - Ngoại hình: 98% - Box,3.000.000₫,https://2handland.com/san-pham/dong-ho-tissot-lovely-square-mau-bac-ngoai-hinh-98-box,2026-01-11 22:04:56
Đĩa game PS4 - Fallout 76 - Kèm box,200.000₫,https://2handland.com/san-pham/dia-game-ps4-fallout-76-kem-box,2026-01-11 22:04:57
"Đồng hồ Samsung Galaxy Watch 4 - 44mm - GPS -Màu đen - Ngoại hình: 96% - Trầy, màn trầy , ám viền vàng - Hoạt động tốt - Body, kèm sạc - SP KHÔNG BẢO HÀNH",600.000₫,https://2handland.com/san-pham/dong-ho-samsung-galaxy-watch-4-44mm-gps-mau-den-ngoai-hinh-96-tray-man-tray-am-vien-vang-hoat-dong-tot-body-kem-sac-sp-khong-bao-hanh,2026-01-11 22:04:58
Đĩa game PS4 - The King of Fighters XIV - Kèm box,200.000₫,https://2handland.com/san-pham/dia-game-ps4-the-king-of-fighters-xiv-kem-box,2026-01-11 22:04:59
Đồng hồ Casio MTP-1370G - Màu vàng - Ngoại hình: 98% - Xướt - Body,1.000.000₫,https://2handland.com/san-pham/dong-ho-casio-mtp-1370g-mau-vang-ngoai-hinh-98-xuot-body,2026-01-11 22:05:01
Đồng hồ Casio G-Shock GA-B001G-2ADR - Màu xanh đen - Ngoại hình: 98% - Body,700.000₫,https://2handland.com/san-pham/dong-ho-casio-g-shock-ga-b001g-2adr-mau-xanh-den-ngoai-hinh-98-body,2026-01-11 22:05:02
Vợt Pickleball Adidas Metalbane LPS - 16mm - Màu đen - Ngoại hình 97% - Kèm túi + Khóa tháo tạ,3.500.000₫,https://2handland.com/san-pham/vot-pickleball-adidas-metalbane-lps-16mm-mau-den-ngoai-hinh-97-kem-tui-khoa-thao-ta,2026-01-11 22:05:03
"Flycam DJI Flip Fly More Combo - Màu xám - Ngoại hình: 97% - Gãy 3 tăm bảo vệ cánh, cánh trầy - Box, kèm 3 pin chu kì sạc 02/02/02 + 3 bộ cánh thay thế + tay rc 2",14.000.000₫,https://2handland.com/san-pham/flycam-dji-flip-fly-more-combo-mau-xam-ngoai-hinh-97-gay-3-tam-bao-ve-canh-canh-tray-box-kem-3-pin-chu-ki-sac-02-02-02-3-bo-canh-thay-the-tay-rc-2,2026-01-11 22:05:04
Tai nghe JBL Tune Beam - Màu trắng - Newseal,1.200.000₫,https://2handland.com/san-pham/tai-nghe-jbl-tune-beam-mau-trang-newseal,2026-01-11 22:05:05
"Vợt Yonex Astrox 99 Play - Màu đen cam - Ngoại hình: 98% - Body, kèm túi",1.000.000₫,https://2handland.com/san-pham/vot-yonex-astrox-99-play-mau-den-cam-ngoai-hinh-98-body-kem-tui,2026-01-11 22:05:06
Chuột Logitech G502 Lightspeed - Màu đen - Ngoại hình: 97% - Tróc đệm cao su - Box,1.000.000₫,https://2handland.com/san-pham/chuot-logitech-g502-lightspeed-mau-den-ngoai-hinh-97-troc-dem-cao-su-box,2026-01-11 22:05:07
Tay cầm Gamesir X3 Pro - Type C - Màu trắng xanh - Ngoại hình: 98% - Box,800.000₫,https://2handland.com/san-pham/tay-cam-gamesir-x3-pro-type-c-mau-trang-xanh-ngoai-hinh-98-box,2026-01-11 22:05:08
"Đồng hồ Versace KHAI Swiss Quartz Medusa - 38mm - Màu bạc - Ngoại hình: 97% - Box, kèm mắt nối",8.000.000₫,https://2handland.com/san-pham/dong-ho-versace-khai-swiss-quartz-medusa-38mm-mau-bac-ngoai-hinh-97-box-kem-mat-noi,2026-01-11 22:05:09
Nước hoa Thierry Mugler Alien Goddess - EDP - 60ml - Newseal,1.340.000₫,https://2handland.com/san-pham/nuoc-hoa-thierry-mugler-alien-goddess-edp-60ml-newseal,2026-01-11 22:05:10
Nước hoa Tom Ford Black Orchid - EDP - 25/30ml - Body,1.050.000₫,https://2handland.com/san-pham/nuoc-hoa-tom-ford-black-orchid-edp-25-30ml-body,2026-01-11 22:05:11
Nước hoa Versace Crystal Noir - EDT - 88/90ml - Tester - Box,1.160.000₫,https://2handland.com/san-pham/nuoc-hoa-versace-crystal-noir-edt-88-90ml-tester-box,2026-01-11 22:05:12
Bàn Phím Có Dây - Machenike K500-B61 - 1 mode : dây - Màu trắng - Ngoại hình 97% - Body,300.000₫,https://2handland.com/san-pham/ban-phim-co-day-machenike-k500-b61-1-mode-day-mau-trang-ngoai-hinh-97-body,2026-01-11 22:28:49
